fips,cohort_year,sex,race,age_group,off_type,repeat_contact,fe_rate,N_fe_rate,mi_rate,N_mi_rate,inc_rate,N_inc_rate,par_rate,N_par_rate,pro_rate,N_pro_rate,avg_coal_prod,med_coal_prod,tot_coal_prod,first_year,last_year,coal_prod_max,county_pop,peak_coal_prod_year,event_time,log_coal_prod,min_event_time,max_event_time
24001,2009,0,0,0,0,0,1357,72800,6764,72800,,,,,,,105180.75,25491.5,1682892,2000,2017,2065598,72800,2011,-3,14.3360242999909,-12,5
24001,2009,0,0,0,1,0,417,72800,1586,72800,,,,,,,105180.75,25491.5,1682892,2000,2017,2065598,72800,2011,-3,14.3360242999909,-12,5
24001,2009,0,0,0,2,0,647,72800,1954,72800,,,,,,,105180.75,25491.5,1682892,2000,2017,2065598,72800,2011,-3,14.3360242999909,-12,5
24001,2009,0,0,0,3,0,255,72800,1560,72800,,,,,,,105180.75,25491.5,1682892,2000,2017,2065598,72800,2011,-3,14.3360242999909,-12,5
24001,2010,0,0,0,0,0,1334,75000,7013,75000,,,,,,,120883.666666667,29634,1813255,2000,2017,2065598,75000,2011,-2,14.4106341307015,-12,5
24001,2010,0,0,0,1,0,410,75000,1612,75000,,,,,,,120883.666666667,29634,1813255,2000,2017,2065598,75000,2011,-2,14.4106341307015,-12,5
24001,2010,0,0,0,2,0,642,75000,2064,75000,,,,,,,120883.666666667,29634,1813255,2000,2017,2065598,75000,2011,-2,14.4106341307015,-12,5
24001,2010,0,0,0,3,0,233,75000,1589,75000,,,,,,,120883.666666667,29634,1813255,2000,2017,2065598,75000,2011,-2,14.4106341307015,-12,5
24001,2011,0,0,0,0,0,1509,74600,7326,74600,,,,,,,147542.714285714,48075,2065598,2000,2017,2065598,74600,2011,-1,14.5409303308324,-12,5
24001,2011,0,0,0,1,0,455,74600,1707,74600,,,,,,,147542.714285714,48075,2065598,2000,2017,2065598,74600,2011,-1,14.5409303308324,-12,5
24001,2011,0,0,0,2,0,687,74600,2072,74600,,,,,,,147542.714285714,48075,2065598,2000,2017,2065598,74600,2011,-1,14.5409303308324,-12,5
24001,2011,0,0,0,3,0,266,74600,1818,74600,,,,,,,147542.714285714,48075,2065598,2000,2017,2065598,74600,2011,-1,14.5409303308324,-12,5
24001,2012,0,0,0,0,0,1374,74000,7044,74000,,,,,,,113613.076923077,57449,1476970,2000,2017,2065598,74000,2011,0,14.2055032498651,-12,5
