year,fips,avg_prod,med_prod,tot_prod
1983,01007,185129,185129,185129
1983,01009,37804.8,33709,189024
1983,01043,120324.375,93238.5,962595
1983,01049,24588,25107,73764
1983,01057,279361.75,55689,1117447
1983,01059,107743.5,107743.5,215487
1983,01071,20039.5,20039.5,40079
1983,01073,436826.875,168051.5,6989230
1983,01093,60649.75,15464.5,242599
1983,01117,105766,96113,317298
1983,01125,263415.058823529,105829,4478056
1983,01127,320084.615384615,163529.5,8322200
1983,01133,66013.2,54672,330066
1983,01999,80776.5,80776.5,161553
1983,02999,785530,785530,785530
1983,04017,5701977,5701977,11403954
1983,05071,15000,15000,15000
1983,05131,23450,23450,46900
1983,08029,467712.75,273341,1870851
1983,08043,165464,42130.5,661856
1983,08051,208548.666666667,179921,625646
1983,08057,79820,79820,159640
1983,08067,63112,63112,63112
1983,08071,55171.6666666667,71702,165515
1983,08077,732637,732637,732637
1983,08081,1987997,2304576,5963991
1983,08085,41815,41815,41815
1983,08103,144945,144945,144945
1983,08107,729118.285714286,457755,5103828
1983,08999,235882.2,237022,1179411
1983,13999,184811,184811,184811
1983,17021,753917,753917,753917
1983,17027,2376093,2376093,2376093
1983,17041,590889,590889,1181778
1983,17055,1470046.75,1786016,5880187
1983,17057,772655,766806,2317965
1983,17059,399087.333333333,158737,1197262
1983,17065,775911,775911,775911
1983,17077,2378780,2378780,2378780
1983,17081,1905639,1905639,3811278
1983,17107,491600,491600,491600
1983,17109,498296,498296,498296
1983,17117,1281932.5,1281932.5,2563865
1983,17135,291339,291339,582678
1983,17145,2707398.6,2621295,13536993
1983,17157,895279.25,579942.5,3581117
1983,17163,1094436,1094436,2188872
1983,17165,518717.2,301786,5187172
1983,17183,65864,65864,65864
1983,17185,1250756,1250756,1250756
1983,17189,1110896,1110896,1110896
1983,17193,30900,30900,30900
1983,17199,553325.5,546222.5,2213302
1983,17999,1434551.5,1434551.5,2869103
1983,18021,233733.8,60692,1168669
1983,18027,224782.470588235,201193,3821302
1983,18037,229054.5,221230.5,916218
1983,18051,723859.5,723859.5,1447719
1983,18055,186319.75,182216.5,1490558
1983,18083,883668.5,883668.5,1767337
1983,18119,150146,150146,150146
1983,18125,654717.142857143,71500,4583020
1983,18147,140560.111111111,119843,1265041
1983,18153,916565.5,916565.5,1833131
1983,18167,348718.25,355643,1394873
1983,18173,1400025.28571429,338781,9800177
1983,18999,268708.5,21918.5,2149668
1983,19125,64445,64445,64445
1983,19999,101170.333333333,98377,303511
1983,20011,236769,236769,236769
1983,20037,136820,149380,410460
1983,20107,461307,461307,461307
1983,20999,77404.5,77404.5,154809
1983,21013,133380.785714286,52142,5601993
1983,21019,51669.5,21195.5,206678
1983,21025,371918.263157895,88801,7066447
1983,21031,100302.833333333,56737.5,1203634
1983,21033,111872,111872,111872
1983,21043,20356.4,17936,101782
1983,21051,128303.615384615,51559,1667947
1983,21059,148939.142857143,74391,1042574
1983,21063,144791.333333333,21951,434374
1983,21071,53604.5625,37640,5146038
1983,21089,25533,25533,25533
1983,21095,95958.9595959596,50050,9499937
1983,21101,571447,571447,1142894
1983,21107,325625.269230769,138510.5,8466257
1983,21109,63470.25,46940.5,253881
1983,21115,38977.8181818182,19350,428756
1983,21119,94592.3448275862,56312.5,5486356
1983,21121,41134.0476190476,19419,863815
1983,21125,76665.0588235294,47277,1303306
1983,21127,63018.2727272727,36301,693201
1983,21129,28157,28157,56314
1983,21131,105555.85106383,55786,4961125
1983,21133,77903.5952380952,46033.5,3271951
1983,21147,188445,148249,753780
1983,21149,23198.5,23198.5,46397
1983,21153,131100.444444444,101907.5,2359808
1983,21159,246395.32,107696.5,12319766
1983,21175,43486.625,25774,347893
1983,21177,684829,313345,8902777
1983,21183,273358.75,119400,5467175
