area_fips,year,coal_wages,all_wages,coal_wage_share
06029,2000,0,13619323438,0
17193,2000,0,211660614,0
20009,2000,0,589847970,0
20173,2000,0,16327784664,0
22017,2000,0,6879214246,0
22055,2000,0,6818343316,0
26055,2000,0,2490611376,0
35005,2000,0,956386808,0
35025,2000,0,1140509494,0
39169,2000,0,2710772044,0
40009,2000,0,305366866,0
40109,2000,0,24141092170,0
40133,2000,0,296696842,0
42003,2000,0,52219678262,0
42063,2000,1268252,1564521846,0.000810632336801515
42083,2000,0,956412744,0
48041,2000,0,3665096780,0
48113,2000,0,139236069624,0
48131,2000,0,148943676,0
48135,2000,0,2692108788,0
48201,2000,0,154127067428,0
48329,2000,0,3194730758,0
48355,2000,0,8018137836,0
48439,2000,0,49831201524,0
48441,2000,0,2632536894,0
49035,2000,0,34231732660,0
49047,2000,0,458764592,0
54033,2000,0,1721679188,0
56005,2000,203515126,1216955628,0.167232988054352
56025,2000,0,1827478568,0
56033,2000,0,508430872,0
C1018,2000,0,2638521336,0
C1242,2000,0,50601432321,0
C1254,2000,0,13619323438,0
C1622,2000,0,1827478568,0
C1662,2000,249601648,8561599112,0.0291536247767262
C1814,2000,0,60530430174,0
C1974,2000,0,97293863038,0
C2290,2000,0,5817089484,0
C2642,2000,0,169065092911,0
C2714,2000,0,12813164774,0
C2814,2000,0,63512913222,0
C3110,2000,0,435882863908,0
C3326,2000,0,3194730758,0
C3538,2000,0,36048171276,0
C3562,2000,0,812475785018,0
C3622,2000,0,2692108788,0
C3830,2000,141867775,74063472602,0.00191548910705774
C4090,2000,0,50086080416,0
C4162,2000,0,35682968906,0
C4334,2000,0,8975322190,0
C4862,2000,0,18020111668,0
21133,2000,1054625,310845994,0.00339275725071754
21195,2000,1374816,1295263144,0.0010614182966361
42005,2000,18430431,988488834,0.0186450573502381
42033,2000,1621460,1554145678,0.00104331274921835
42111,2000,24589037,1229957296,0.0199917810805035
51027,2000,76105114,434110874,0.17531261840725
51195,2000,2533675,703603942,0.00360099602739292
01053,2000,0,722849056,0
01097,2000,0,9687354996,0
05027,2000,0,501586810,0
05103,2000,0,385770546,0
05139,2000,0,1134238946,0
06037,2000,0,326238676056,0
06059,2000,0,109644187852,0
06083,2000,0,11536709254,0
06111,2000,0,21317844256,0
08001,2000,0,9681604522,0
08005,2000,0,26282135558,0
08031,2000,0,41632433312,0
08045,2000,0,1130828716,0
08059,2000,0,15252180854,0
08067,2000,0,1069793208,0
08123,2000,0,4063370740,0
11001,2000,0,67264878518,0
17025,2000,0,279718390,0
17033,2000,0,377955182,0
17051,2000,0,251110138,0
17081,2000,0,955605718,0
17101,2000,0,199131395,0
17121,2000,0,845651220,0
