year,nat_coal_jobs,nat_coal_wages,nat_coal_rwages,nat_coal_jobs_pct_chg,nat_coal_wages_pct_chg,nat_coal_rwages_pct_chg,nat_coal_rwages_by_rgdp,nat_coal_rwages_by_totout,nat_coal_rwages_by_rgdp_pct_chg,nat_coal_rwages_by_totout_pct_chg
2000,64793,3369742589,4796306089,,,,340260.080093644,257510.111781034,,
2001,63170,3378928018,4676314270,-2.50490022070285,0.27258547967386,-2.50175482493065,328607.466252539,247627.115888692,-3.42461973144136,-3.83790594628984
2002,68390,3728957320,5080419339,8.26341617856578,10.35918196941,8.64152932561566,351034.661051497,264966.743107783,6.82491942581818,7.00231360239436
2003,62498,3494610466,4655049050,-8.61529463371838,-6.28451424592867,-8.37273974088382,312896.093377159,231126.477729175,-10.8646159214299,-12.7715142593732
2004,64449,3784285414,4910155400,3.12169989439662,8.28919133672623,5.4802075608634,317813.525094176,226388.158107068,1.57158616585542,-2.05009814049076
2005,67975,4231292699,5310239839,5.47099256776676,11.8121979739238,8.14810136151699,332139.094258194,225795.663685958,4.50753918033306,-0.261716171933817
2006,72334,4687111565,5698467483,6.41265171018757,10.7725675916423,7.31092485030035,346767.650838856,228619.986880905,4.40434650227907,1.25083145922364
2007,74838,5024002252,5940101071,3.46171924682722,7.1875969310323,4.24032581954456,354370.559764712,226286.978472627,2.19250812682894,-1.02047438638577
2008,74652,5333697398,6071942556,-0.248536839573479,6.16431144864065,2.21951585375642,361823.588832941,224679.556853124,2.10317388475444,-0.710346494682237
2009,79170,5780387610,6605002346,6.05208165889728,8.37486978859163,8.77906510286821,403997.917071888,264630.912966309,11.6560471844801,17.7814825134721
2010,78227,6026567024,6772634469,-1.19110774283188,4.2588738093292,2.53795705464841,403377.912125219,255768.971053079,-0.153467362198935,-3.34879316021504
2011,83812,6759936523,7367098452,7.1394786966137,12.1689428837256,8.777440827805,432027.072552837,262638.847071154,7.10231263697075,2.68596929087612
2012,82829,6608381599,7054504921,-1.17286307450007,-2.24195779774484,-4.24310239691636,404436.496491389,241326.513946949,-6.38630720487401,-8.11469185228014
2013,75514,6162191155,6482201940,-8.83144792282896,-6.75188678673639,-8.11258886922534,363919.220534241,213308.914468488,-10.018204664675,-11.6098306067686
2014,66569,5546125564,5742946243,-11.8454856053182,-9.99750860536231,-11.4043916533708,314480.373842523,180620.217293533,-13.5851155701918,-15.3245809048379
2015,58957,4894682629,5061969250,-11.4347519115504,-11.7459103203239,-11.8576243653688,269259.412434307,157038.684428505,-14.3795814205119,-13.0558656269938
2016,33384,2731002847,2789036657,-43.3756805807623,-44.2047002022284,-44.9021414541386,145704.752294728,84778.0466653089,-45.8868490510887,-46.014546050336
2017,42641,3649622729,3649622729,27.72885214474,33.6367237042284,30.8560330263167,186090.358962069,105884.070459352,27.7174258432216,24.8956240727824
2018,45391,4014048858,3918133712,6.44919209211791,9.98530960760026,7.35722574463395,194025.607336869,107332.896273062,4.26419101938382,1.36831329530927
2019,42263,3811968940,3653944416,-6.89123394505519,-5.03431635111403,-6.74273303105691,176385.273777859,97029.6992936428,-9.09175536215817,-9.59929093239728
