year,rgdp,routput_gas,routput_mine,routput_tot,mine_routput_by_rgdp,mine_routput_by_tot
2000,14096,143,54.7,18625.7,0.0038805334846765,0.00293680237521274
2001,14230.7,142.3,55.1,18884.5,0.00387191072821435,0.00291773676824909
2002,14472.7,116.7,54.4,19173.8,0.00375880105301706,0.00283720493590212
2003,14877.3,166,57.4,20140.7,0.00385822696322585,0.00284995059754626
2004,15449.8,191,67.3,21689.1,0.00435604344392808,0.00310294110866749
2005,15988,249.2,84.3,23517.9,0.0052727045283963,0.00358450371844425
2006,16433.1,257.4,100.8,24925.5,0.00613396133413659,0.00404405127279292
2007,16762.4,276.9,104.5,26250.3,0.00623419080799885,0.0039809068848737
2008,16781.5,388.4,116.2,27024.9,0.00692429163066472,0.00429973838941125
2009,16349.1,227.6,104.9,24959.3,0.00641625532903952,0.00420284222714579
2010,16789.8,304.7,112.7,26479.5,0.00671240872434454,0.00425612266092638
2011,17052.4,372.9,130.9,28050.3,0.00767633881447773,0.00466661675632703
2012,17442.8,362.6,124.6,29232.2,0.00714334854495838,0.00426242294456113
2013,17812.2,412.8,114.4,30388.8,0.00642256430985504,0.00376454483230664
2014,18261.7,445.7,116.1,31795.7,0.00635756802488268,0.00365143714401633
2015,18799.6,241.5,104.4,32233.9,0.00555330964488606,0.00323882620470995
2016,19141.7,199.8,94.8,32898.1,0.00495253817581511,0.00288162538262088
2017,19612.1,254,101.9,34468.1,0.00519577199789926,0.00295635674725326
2018,20193.9,346.6,106.9,36504.5,0.00529367779378921,0.00292840608692079
2019,20715.7,316,106.1,37658,0.00512171927571842,0.00281746242498274
2020,20284.5,211.1,96.7,36714.6,0.00476718676822204,0.00263382959367663
2021,21532.4,420,117.1,41833.3,0.00543831621184819,0.00279920541769356
2022,22075.9,653.8,138.1,46611.2,0.00625569059472094,0.0029628072222985
2023,22723.7,467.7,141.3,48540.3,0.00621817749750261,0.00291098324485016
2024,23358.4,456,139.9,50736.6,0.00598928008767724,0.00275737830284252
